name,city,state,website,services,primary_service,estimated_revenue,employee_count,employee_count_min,employee_count_max,ownership_type,is_pe_backed,key_contact_name,key_contact_title,phone,year_founded,google_rating,confidence_score,data_sources,description
Truth Induced Financial,Dallas,TX,https://truthinduced.biz,,,,,,,Franchise,,,,(972) 290-0807,,4.9,0.542,google_places; website,"Truth Induced Financial Services is sure to interpret, explain, and strategize the most effective method to address your tax concerns. Because we believe that the most informed client gets the best refund, we make sure to exert efforts in educating our clients about their individual circumstances, empowering them to maximize the deductions and credits available within the tax code and tax law. This ensures that the client receives the maximum refund they are entitled to every tax year. If you ha"
Grant Thornton,San Francisco,CA,https://grantthornton.com/offices/california/san-francisco,,,,7500,5001,10000,PE-backed,1,,,(415) 986-3900,,5.0,0.53,google_places; website; linkedin,"Find the location and contact information for the Grant Thornton office in San Francisco, California."
212 Tax,New York,NY,https://212tax.com,,,,,,,,,,,(646) 933-9534,,4.8,0.524,google_places; website,"CPA tax accountant in NYC, Anil Melwani at 212 Tax & Accounting Services is here to help you with your back taxes, audit representation, individual taxes & business taxes."
Accountability Services PLLC,Seattle,WA,https://accountabilityservices.com,,,,,,,,,,,(206) 522-0110,,4.4,0.524,google_places; website,Stop searching for a business tax CPA near me and schedule your free business accounting meeting with a small business accountant specialist.
Aldaris CPA Group,Seattle,WA,https://aldariscpa.com,R&D Tax Credits,R&D Tax Credits,,,,,,,,,(206) 588-6941,,4.8,0.524,google_places; website,"Aldaris CPA Group offers tax, accounting, and advisory services to Individuals and Business clients in Seattle and Northwest Washington."
"Amro Azazi CPA, PC",Philadelphia,PA,https://amroazazi.com,,,,,,,,,,,(215) 346-5888,,5.0,0.524,google_places; website,"Accounting and tax services from Philadelphia, PA CPA firm, Amro Azazi CPA, PC. Free consultation."
"Ariel Joudai, CPA",New York,NY,https://aajcpa.com,,,,,,,,,,,(646) 585-2175,,5.0,0.524,google_places; website,"Contact Ariel Joudai, CPA today to learn about our accounting, bookkeeping and tax services in the New York, NY area."
"B.O.L. Global, Inc.",San Francisco,CA,https://bolglobalcpa.com,,,,,,,,,,,(415) 409-0010,,4.4,0.524,google_places; website,"B.O.L. Global is a trusted CPA in San Francisco, offering accounting & tax service to help you reach financial goals. Call for an appt. today!"
"CPA Advisory Group, LLC",Staten Island,NY,https://tax1394.com,,,,,,,,,,,(718) 815-6004,,4.9,0.524,google_places; website,"Take a look at our Home page. CPA Advisory Group, LLC is a full service tax, accounting and business consulting firm located in Staten Island, NY."
CPA Seattle PS,Shoreline,WA,https://cpaseattle.com,,,,,,,,,,,(206) 706-1040,,5.0,0.524,google_places; website,"Take a look at our Home page. CPA Seattle PS is a full service tax, accounting and business consulting firm located in Shoreline, WA."
"Cloud9 Advisory, Inc.",Boston,MA,https://cloud9advisory.io,,,,,,,,,,,(617) 286-6129,2016,5.0,0.524,google_places; website,"Cloud9 Advisory offers tailored CFO, Tax & Digital Solutions for Boston and New Hampshire, boosting profits, reducing risks, and keeping your business ahead."
Complex Consulting,Boston,MA,https://complexconsulting.net,,,,,,,,,,,(617) 265-7700,,4.8,0.524,google_places; website,"At Complex Consulting our mission is to empower businesses and individuals to achieve financial success through reliable accounting services, strategic insights, and personalized guidance in Business Consulting Financial Analysis and Strategy. "
"EW Tax and Valuation Group, LLP",Dallas,TX,https://ew.tax,,,,,,,,,,,(972) 250-9959,,5.0,0.524,google_places; website,"Take a look at our Home page. EW Tax & Valuation Group, LLP is a full service tax, accounting and business consulting firm located in Dallas, TX."
Erickson Wealth & Tax Management,Seattle,WA,https://curtcpa.com,,,,,,,,,,,(206) 284-9900,1991,4.2,0.524,google_places; website,"Erickson Wealth & Tax Management is a Seattle WA full service tax, accounting and business consulting and W Curtis Erickson is and  Investment Advisor Representative with www.Fortis.Capital firm located in Bellevue, WA  and certified public accountant PFS"
Friendly Tax Advisors LLC Philadelphia,Philadelphia,PA,https://ftaphiladelphia.com,,,,,,,,,,,(215) 482-6764,,5.0,0.524,google_places; website,Call(215) 482-6764to schedule your appointment and take the first step towards a stress-free tax season.
Goldfine Tax Accountants and Consultants,New York,NY,https://goldfinecpa.com,,,,,,,,,,,(212) 714-6655,,4.0,0.524,google_places; website,"Goldfine C.P.A. is a notable accounting firm based in New York City. We provide corporate tax, partnership tax, business management services, tax planning, and quickbook solutions for businesses and individuals. Member of AICPA, NYSSCPA, NATP."
"Hammer Tax & Advisory, PLLC",Coppell,TX,https://htaxadvisory.com,,,,,,,,,,,(682) 337-0748,2015,5.0,0.524,google_places; website,"Trusted Dallas CPA offering tax preparation, business advisory, and accounting services. 5-star rated. Schedule your free consultation today."
"Inemer, Cohen & Wolf LLP",New York,NY,https://nyc-cpa.com,,,,,,,,,,,(212) 944-2555,,5.0,0.524,google_places; website,"Accounting services and tax planning for small businesses. Contact New York, NY CPA Inemer, Cohen & Wolf LLP now to get started."
"Internal Tax Service, LLC",Philadelphia,PA,https://bestphillycpa.com,,,,,,,,,,,(877) 846-8003,,3.9,0.524,google_places; website,"Internal Tax Service, LLC is a Philadelphia CPA firm providing accounting and tax services to help  small businesses grow and prosper."
"JBB & Associates, LLC",Philadelphia,PA,https://jbbandassociates.com,,,,,,,,,,,(215) 302-9222,,4.8,0.524,google_places; website,"From individual to corporate taxes, we ensure you’re maximizing deductions and staying compliant."
JMS Tax & Business Solutions,Philadelphia,PA,https://jmstaxsolutions.com,,,,,,,,,,,(215) 778-0978,,5.0,0.524,google_places; website,"At JMS Tax and Business Solutions, we are Philadelphia's premier tax and accounting firm. Specializing in tax planning, we save our clients an average of $35+ annually. With over 15 years of expertise in tax and accounting, we guarantee financial success for businesses, real estate investors, and individuals alike. Trust the best in the business for all your tax and accounting needs. Serving the greater Philadelphia area and nationwide with our virtual services."
JVS Tax Services LLC,Brooklyn,NY,https://jvstaxservices.com,,,,,,,,,,,(718) 395-9663,,5.0,0.524,google_places; website,"View our protection plan page and see many options we offer to
                                give you peace of mind with your return."
"Joseph & Hetrick, LLC",Seattle,WA,https://josephandhetrick.com,,,,,,,Family-owned,,,,,,5.0,0.524,google_places; website,We can help! We love catching people up and relieving stress by helping you come into compliance.
L&H CPAs and Advisors - Dallas CPA Firm,Dallas,TX,https://lhcpafirm.com,,,,,,,,,,,(972) 421-1099,,5.0,0.524,google_places; website,"Full-service CPA firm. We provide accounting and tax services along with wealth management and financial planning for business owners, high net worth families, and executives - all under one roof to simplify your life. "
"Leung, Louie, Ip & Co. LLP",San Francisco,CA,https://llicocpa.com,,,,,,,,,,,(650) 992-3003,1994,5.0,0.524,google_places; website,Taxation is an integral part of your financial plan. It is our mission to help you navigate the complex and constantly changing tax environment.
Mac Alpine Carll & Co,Philadelphia,PA,https://macalpinecarll.com,,,,,,,,,,,(215) 923-1101,,4.0,0.524,google_places; website,"Take a look at our Home page. MacAlpine Carll and Co., LLC is a full service tax, accounting and business consulting firm located in Philadelphia, PA."
"Mark E. Feinsot, CPA",New York,NY,https://midtowncpafirm.com,,,,,,,,,,,(212) 631-0320,,5.0,0.524,google_places; website,Award winning CPA Firm with three convenient office locations.  Two midtown NYC and one NJ office.
NB Advisors Small Business Accountant - Philadelphia Location,Philadelphia,PA,https://nbcpa.us/small-business-accountant-philadelphia,,,,,,,,,,,(215) 201-4646,1989,5.0,0.524,google_places; website,Looking for a Small Business Accountant in Philadelphia? We can help minimize your taxes by $100K to $1M and increase your profitability to 27-29%. FREE consult!
Northwest Tax Advisors LLC,Mercer Island,WA,https://nw-tax.com,,,,,,,,,,,(206) 275-1040,,4.0,0.524,google_places; website,"Northwest Tax Advisors LLC (NWTA) is a firm of professionals who advise individuals and businesses with their tax, accounting, and planning needs. Core services are tax preparation, tax planning, and strategic consulting, while also providing accounting, payroll, and other professional services."
Parker Financial Services,Philadelphia,PA,https://lesstax123.com,,,,,,,,,,,(215) 200-0306,,4.9,0.524,google_places; website,"Take a look at our Home page. Parker Financial Services is a full service tax, accounting and business consulting firm located in Philadelphia, PA."
Perkins Dexter Sinopoli & Hamm,Richardson,TX,https://pdshcpas.com,,,,,,,,,,,(972) 669-9730,,5.0,0.524,google_places; website,"Accounting, bookkeeping, and tax services from Perkins, Dexter, Sinopoli & Hamm, P.C., a Dallas, TX CPA firm. Call today to take advantage of our free consultation. "
Precision Tax & Advisory,Philadelphia,PA,https://precisiontaxadvisory.com,,,,,,,,,,,(215) 995-5566,,5.0,0.524,google_places; website,"Precision Tax & Advisory a Philadelphia-based accounting firm specializing in tax, advisory, and accounting services to small businesses and their owners across all 50 states and U.S. jurisdictions.

We have experience working with LLCs, S Corporations, and sole proprietors in industries such as healthcare, real estate, transportation, e-commerce, legal services, beauty, and more."
Quality Tax And Business Partners,Medford,MA,https://qtbp.net,,,,,,,,,,,(781) 391-1906,,4.9,0.524,google_places; website,"we can prepare your taxes to see exactly where you stand, thus will allow you to prepare until the extension if needed."
Ranta CPA,Seattle,WA,https://ranta-cpa.com,,,,,,,,,,,(206) 420-2246,,3.9,0.524,google_places; website,Welcome to Ranta CPA + Associates on the World Wide Web!  Our website is designed to be conversational and assist in the flow of communication and engagement with new and current clients.  
Raymond Lyle CPA PLLC,Seattle,WA,https://raymondlylecpa.com,,,,,,,,,,,(206) 970-1208,,4.9,0.524,google_places; website,Raymond Lyle CPA PLLC offers expert tax and accounting services for businesses and individuals in Seattle and the surrounding communities.
"Richard Hassey, CPA., LLC.",Boston,MA,https://richardhasseycpa.com,,,,,,,,,,,(617) 523-7846,,5.0,0.524,google_places; website,"Boston CPA firm specializing in business accounting, tax prep, and QuickBooks. Serving medical, real estate, and manufacturing industries."
Saville CPAs & Advisors,Dallas,TX,https://savillecpa.com,,,,,,,,,,,(214) 922-9727,1965,5.0,0.524,google_places; website,"At Saville, our spirit is founded upon a sincere faith-based value belief. We encourage our team to consistently build their futures and grow both professionally and personally. Our principles center around a triad approach of a client-centric focus, community involvement and career development."
Seattle CPA Professionals LLC,Seattle,WA,https://seattlecpaprofessionals.com,,,,,,,,,,,(206) 420-7329,,4.5,0.524,google_places; website,"Seattle CPA Professionals is an accounting firm that provides tax and 
accounting services to the greater Seattle area. We give you peace of mind 
that your tax and accounting needs are taken care of by experienced 
professionals."
Stanton Financial Management,Philadelphia,PA,https://stanton-financial.com,,,,,,,,,,,(267) 761-4441,,4.8,0.524,google_places; website,"Professional tax preparation, business formation, and financial consulting services in Philadelphia. Expert guidance for entrepreneurs and small businesses."
Steve Goldflam & Associates LLC,Philadelphia,PA,https://cpagame.com,,,,,,,,,,,(267) 784-5040,,4.3,0.524,google_places; website,"Preparing your own tax returns can be an intricate and difficult process, certain deduction errors can put you at risk."
T3 Acccounting Services,New York,NY,https://t3taxcpa.com,,,,,,,,,,,(646) 476-8926,,5.0,0.524,google_places; website,"Take a look at our Home page. T3 Accounting Services is a full service tax, accounting and business consulting firm located in New York, NY."
Taxes for Expats (TFX),New York,NY,https://taxesforexpats.com/?utm_source=gmb&utm_medium=organic&utm_campaign=gmb_profile_link,,,,,,,,,,,(267) 839-8297,,4.9,0.524,google_places; website,"Top-rated American expat tax services from trusted expat tax professionals. With 20+ years of experience in taxes for expats, we help you stay compliant and stress-free abroad."
Taxman Associates,Seattle,WA,https://taxman.cc,,,,,,,,,,,(206) 323-1066,,4.8,0.524,google_places; website,"Taxman Associates are experts in solving complex tax problems, navigating difficult IRS issues, and complex cryptocurrency situations."
Termulo and Associates PLLC,Seattle,WA,https://termulocpa.com,,,,,,,,,,,(206) 735-7453,,4.8,0.524,google_places; website,"Welcome! Please, feel free to browse our website to see the services we offer as well as the many helpful resources we provide. We have an excellent client-retention rate, and a unique, low-pressure approach to personal and professional services."
"Tremper & Co., LLP",Seattle,WA,https://tremperco.com,,,,,,,,,,,(206) 285-4456,,5.0,0.524,google_places; website,"Tremper & Co offers accounting & tax services, business valuation, consulting and financial planning for individuals, small businesses, and organizations in the Seattle Area"
USA Tax Gurus LLC,Issaquah,WA,https://usataxgurus.com,,,,,,,,,,,(213) 905-6170,,4.9,0.524,google_places; website,"Discover about USA Tax Guru, one of the best tax and accounting firms in the USA that provides professional financial and tax assistance. Today, work together with one of the top CPA firms in the USA."
Upside Tax and Financial - Andrew Donoghue CPA CFP,New York,NY,https://upsidetax.com,,,,,,,Franchise,,,,,,5.0,0.524,google_places; website,"Our CPA’s, bookkeepers, and business service specialists provide a seamless process that ensures you have the most valuable tax preparation experience for your financial needs."
Velasquez Tax & Business Services,Cambridge,MA,https://velasqueztaxbizsvcs.com,,,,,,,,,,,(857) 209-8442,,5.0,0.524,google_places; website,Transform your financial future with Boston's premier Black-owned tax & business advisory. Strategic guidance for sustainable growth and wealth building.
Why Blu,San Francisco,CA,https://whyblu.com,,,,,,,,,,,(415) 949-0087,2014,5.0,0.524,google_places; website,Why Blu is a San Francisco accounting firm for Forward-Thinking businesses.
"Your Tax Advisor, LLC. (Abic CPA Associates)",New York,NY,https://yourtaxadvisor.com,,,,,,,,,,,(212) 576-1592,1991,5.0,0.524,google_places; website,"Please read our Home page. Your Tax Advisor is a full service tax solution CPA firm, providing Tax, Accounting & Business consulting  located in New York City, NY."
theTaxGuySF,Pacifica,CA,https://thetaxguysf.com,,,,,,,,,,,(650) 534-3886,2008,5.0,0.524,google_places; website,Tax services
Seaport Financial Partners LLC,Boston,MA,https://seaportpartners.com,,,,,,,,,,,(781) 899-1118,,5.0,0.506,google_places; website,
Block Advisors,Seattle,WA,https://blockadvisors.com/tax-office-near-me/washington/seattle/63680/?otppartnerid=9308&campaignid=pw_mcm_9308_9762&utm_medium=local,,,,,,,,,,,(206) 441-1040,,4.7,0.461,google_places,
Crowe LLP,Boston,MA,https://crowe.com/about-us/our-offices/boston?utm_source=gmb&utm_medium=yext,,,,,,,,,,,(617) 226-0880,,5.0,0.461,google_places,
George Dimov CPA,New York,NY,https://nycaccountingconsulting.com/cpa-services-in-new-york/?utm_campaign=gmb,,,,,,,,,,,(212) 641-0673,,4.7,0.461,google_places,
Jackman Professional Accounting & Financial Services,Boston,MA,https://jackmanprofaccount.com,,,,,,,,,,,(617) 910-9196,,4.7,0.461,google_places,
Roger Advisory Services,New York,NY,https://rogeradvisory.com/contact.php,,,,,,,,,,,(917) 587-8244,,5.0,0.461,google_places,
Tax Accountant - Fincadia,New York,NY,https://fincadiatax.com/taxaccountant-nyc/?utm_campaign=gmb&utm_medium=tax_accountant_nyc,,,,,,,,,,,(917) 924-9934,,5.0,0.461,google_places,
Centri Business Consulting,Philadelphia,PA,https://centriconsulting.com/locations/philadelphia/?utm_source=google&utm_medium=organic&utm_campaign=local_philly,,,,,,,PE-backed,1,National Transportation,CEO,(215) 654-6850,,3.0,0.455,google_places; website,"Recognized by The Philadelphia Business Journal’s Largest Management Consulting Firms list for several years in a row, Centri is here for you."
Olympic Point Tax & Consulting,Seattle,WA,,,,,,,,,,,,(206) 938-1310,,4.7,0.443,google_places,
Speciality Tax Services,Dallas,TX,,,,,,,,,,,,(214) 570-0997,,3.0,0.443,google_places,
Tax Pro America,Boston,MA,,,,,,,,,,,,(617) 910-9268,,5.0,0.443,google_places,
BDO,Philadelphia,PA,https://bdo.com/locations/bdo-philadelphia-office,,,,,,,PE-backed,1,,,(215) 564-1900,,5.0,0.437,google_places; website,"BDO Philadelphia provides experienced guidance and services to clients within manufacturing, finance and other industries across Eastern PA. Learn more."
Cohesion Co.,Dallas,TX,https://cohesionco.com,,,,,,,PE-backed,1,,,(214) 528-4511,,4.7,0.437,google_places; website,"Cohesion’s personalized tax planning, outsourced accounting, and wealth management services break the mold and set a new standard in financial care."
Grant Thornton,Boston,MA,https://grantthornton.com/offices/massachusetts/boston,,,,,,,PE-backed,1,,,(617) 723-7900,,5.0,0.437,google_places; website,"Grant Thornton is one of the largest and fastest growing audit and assurance, tax and advisory service providers in Boston. Request a meeting today."
Haque CPA,New York,NY,https://nyc-cpafirm.com,,,,,,,PE-backed,1,,,(212) 880-2617,,5.0,0.437,google_places; website,Accounting and tax services from trusted New York City CPA firm Haque CPA. Free initial consultation for new clients.
Patten and Company LLC,Dallas,TX,https://ptcpas.com,,,,,,,PE-backed,1,,,(214) 696-1922,1969,4.6,0.437,google_places; website,"Partner with Patten & Co, your trusted Dallas CPA. We listen, advise, and deliver customized tax and accounting solutions. Schedule your free consultation."
RSM US LLP,New York,NY,https://rsmus.com,,,,,,,PE-backed,1,,,(212) 372-1000,,5.0,0.437,google_places; website,"RSM US LLP is the leading U.S. provider of assurance, tax and consulting services focused on the middle market. "
RSM US LLP,Boston,MA,https://rsmus.com,,,,,,,PE-backed,1,,,(617) 912-9000,,4.2,0.437,google_places; website,"RSM US LLP is the leading U.S. provider of assurance, tax and consulting services focused on the middle market. "
Wipfli,Philadelphia,PA,https://wipfli.com/about-wipfli/locations/pennsylvania/pa-philadelphia?utm_source=gmb&utm_medium=organic,,,,,,,PE-backed,1,,,(215) 989-3631,,5.0,0.437,google_places; website,"Our Philadelphia CPAs and consultants provide audit, tax, accounting services for businesses and individuals. We serve construction, manufacturing, private equity, technology and other industries."
